price_type,species_malay,month,month_name_ms,price_rm_per_kg,annual_average_rm_per_kg
ex_vessel,Bulu Ayam,1,Januari,3.77,3.87
ex_vessel,Bulu Ayam,2,Februari,4.38,3.87
ex_vessel,Bulu Ayam,3,Mac,3.89,3.87
ex_vessel,Bulu Ayam,4,April,3.99,3.87
ex_vessel,Bulu Ayam,5,Mei,3.69,3.87
ex_vessel,Bulu Ayam,6,Jun,3.78,3.87
ex_vessel,Bulu Ayam,7,Julai,3.86,3.87
ex_vessel,Bulu Ayam,8,Ogos,4.57,3.87
ex_vessel,Bulu Ayam,9,September,3.98,3.87
ex_vessel,Bulu Ayam,10,Oktober,3.28,3.87
ex_vessel,Bulu Ayam,11,November,3.67,3.87
ex_vessel,Bulu Ayam,12,Disember,3.55,3.87
ex_vessel,Cermin/Sagai/Cupak,1,Januari,7.99,8.47
ex_vessel,Cermin/Sagai/Cupak,2,Februari,8.0,8.47
ex_vessel,Cermin/Sagai/Cupak,3,Mac,8.5,8.47
ex_vessel,Cermin/Sagai/Cupak,4,April,8.72,8.47
ex_vessel,Cermin/Sagai/Cupak,5,Mei,8.31,8.47
ex_vessel,Cermin/Sagai/Cupak,6,Jun,8.72,8.47
ex_vessel,Cermin/Sagai/Cupak,7,Julai,8.78,8.47
ex_vessel,Cermin/Sagai/Cupak,8,Ogos,8.49,8.47
ex_vessel,Cermin/Sagai/Cupak,9,September,8.63,8.47
ex_vessel,Cermin/Sagai/Cupak,10,Oktober,8.34,8.47
ex_vessel,Cermin/Sagai/Cupak,11,November,8.46,8.47
ex_vessel,Cermin/Sagai/Cupak,12,Disember,8.72,8.47
ex_vessel,Chaping,1,Januari,13.04,13.06
ex_vessel,Chaping,2,Februari,13.06,13.06
ex_vessel,Chaping,3,Mac,13.16,13.06
ex_vessel,Chaping,4,April,12.97,13.06
ex_vessel,Chaping,5,Mei,12.46,13.06
ex_vessel,Chaping,6,Jun,12.92,13.06
ex_vessel,Chaping,7,Julai,13.24,13.06
ex_vessel,Chaping,8,Ogos,13.29,13.06
ex_vessel,Chaping,9,September,12.6,13.06
ex_vessel,Chaping,10,Oktober,13.43,13.06
ex_vessel,Chaping,11,November,13.37,13.06
ex_vessel,Chaping,12,Disember,13.17,13.06
ex_vessel,Cincaru,1,Januari,6.06,5.93
ex_vessel,Cincaru,2,Februari,6.01,5.93
ex_vessel,Cincaru,3,Mac,6.02,5.93
ex_vessel,Cincaru,4,April,6.09,5.93
ex_vessel,Cincaru,5,Mei,5.79,5.93
ex_vessel,Cincaru,6,Jun,5.84,5.93
ex_vessel,Cincaru,7,Julai,5.86,5.93
ex_vessel,Cincaru,8,Ogos,5.89,5.93
ex_vessel,Cincaru,9,September,5.88,5.93
ex_vessel,Cincaru,10,Oktober,5.81,5.93
ex_vessel,Cincaru,11,November,5.85,5.93
ex_vessel,Cincaru,12,Disember,6.1,5.93
ex_vessel,Cumit-cumit,1,Januari,13.34,12.59
ex_vessel,Cumit-cumit,2,Februari,12.76,12.59
ex_vessel,Cumit-cumit,3,Mac,12.47,12.59
ex_vessel,Cumit-cumit,4,April,11.99,12.59
ex_vessel,Cumit-cumit,5,Mei,12.41,12.59
ex_vessel,Cumit-cumit,6,Jun,12.3,12.59
ex_vessel,Cumit-cumit,7,Julai,12.85,12.59
ex_vessel,Cumit-cumit,8,Ogos,12.73,12.59
ex_vessel,Cumit-cumit,9,September,12.98,12.59
ex_vessel,Cumit-cumit,10,Oktober,12.15,12.59
ex_vessel,Cumit-cumit,11,November,12.4,12.59
ex_vessel,Cumit-cumit,12,Disember,12.64,12.59
ex_vessel,Daun Baharu,1,Januari,7.01,7.0
ex_vessel,Daun Baharu,2,Februari,7.05,7.0
ex_vessel,Daun Baharu,3,Mac,7.17,7.0
ex_vessel,Daun Baharu,4,April,7.29,7.0
ex_vessel,Daun Baharu,5,Mei,7.04,7.0
ex_vessel,Daun Baharu,6,Jun,6.96,7.0
ex_vessel,Daun Baharu,7,Julai,6.93,7.0
ex_vessel,Daun Baharu,8,Ogos,7.28,7.0
ex_vessel,Daun Baharu,9,September,7.06,7.0
ex_vessel,Daun Baharu,10,Oktober,6.67,7.0
ex_vessel,Daun Baharu,11,November,6.62,7.0
ex_vessel,Daun Baharu,12,Disember,6.92,7.0
