species_malay,month,month_name_ms,landings_tonnes
Jenahak Besar,3,Mac,264
Jenahak Besar,4,April,329
Jenahak Besar,5,Mei,284
Jenahak Besar,6,Jun,400
Jenahak Besar,7,Julai,394
Jenahak Besar,8,Ogos,388
Jenahak Besar,9,September,358
Jenahak Besar,10,Oktober,342
Jenahak Besar,11,November,282
Jenahak Besar,12,Disember,247
Jenahak Kecil,1,Januari,41
Jenahak Kecil,2,Februari,40
Jenahak Kecil,3,Mac,47
Jenahak Kecil,4,April,56
Jenahak Kecil,5,Mei,61
Jenahak Kecil,6,Jun,69
Jenahak Kecil,7,Julai,73
Jenahak Kecil,8,Ogos,70
Jenahak Kecil,9,September,68
Jenahak Kecil,10,Oktober,64
Jenahak Kecil,11,November,54
Jenahak Kecil,12,Disember,56
Jenahak Sederhana,1,Januari,90
Jenahak Sederhana,2,Februari,88
Jenahak Sederhana,3,Mac,109
Jenahak Sederhana,4,April,121
Jenahak Sederhana,5,Mei,142
Jenahak Sederhana,6,Jun,138
Jenahak Sederhana,7,Julai,142
Jenahak Sederhana,8,Ogos,136
Jenahak Sederhana,9,September,143
Jenahak Sederhana,10,Oktober,130
Jenahak Sederhana,11,November,116
Jenahak Sederhana,12,Disember,116
Kaci,1,Januari,54
Kaci,2,Februari,56
Kaci,3,Mac,80
Kaci,4,April,96
Kaci,5,Mei,108
Kaci,6,Jun,115
Kaci,7,Julai,115
Kaci,8,Ogos,141
Kaci,9,September,128
Kaci,10,Oktober,113
Kaci,11,November,88
Kaci,12,Disember,79
Kapas Laut,1,Januari,109
Kapas Laut,2,Februari,107
Kapas Laut,3,Mac,125
Kapas Laut,4,April,151
Kapas Laut,5,Mei,304
Kapas Laut,6,Jun,172
Kapas Laut,7,Julai,135
Kapas Laut,8,Ogos,130
Kapas Laut,9,September,137
Kapas Laut,10,Oktober,133
Kapas Laut,11,November,109
Kapas Laut,12,Disember,99
Kayu/Tongkol/Aya Hitam,1,Januari,836
Kayu/Tongkol/Aya Hitam,2,Februari,1351
Kayu/Tongkol/Aya Hitam,3,Mac,3295
Kayu/Tongkol/Aya Hitam,4,April,4876
Kayu/Tongkol/Aya Hitam,5,Mei,4053
Kayu/Tongkol/Aya Hitam,6,Jun,2702
Kayu/Tongkol/Aya Hitam,7,Julai,2261
Kayu/Tongkol/Aya Hitam,8,Ogos,2128
Kayu/Tongkol/Aya Hitam,9,September,2307
Kayu/Tongkol/Aya Hitam,10,Oktober,2070
Kayu/Tongkol/Aya Hitam,11,November,2512
Kayu/Tongkol/Aya Hitam,12,Disember,946
